sep=,
Filename,Version,FileVersion,InfoVersion
AjaxMin.dll,5.14.5506.26196,5.14.5506.26196,5.14.5506.26196
LinqToTwitter.AspNet.dll,3.2.0,3.2.0.0,3.2.0
LinqToTwitter.net.dll,4.0.0.0,4.0.0.0,4.0.0.0
Lucene.Net.Contrib.Spatial.dll,3.0.3,3.0.3.0,3.0.3
Sitecore.LayoutService.dll,4.0.2.0,4.0.2.0,4.0.2-r00088
Sitecore.LayoutService.Mvc.dll,4.0.2.0,4.0.2.0,4.0.2-r00088
Sitecore.XA.Feature.Accessibility.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Analytics.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Compliancy.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Composites.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.ContentTokens.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Context.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.CreativeExchange.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.DeviceResolver.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Engagement.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.ErrorHandling.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Events.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Forms.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.GenericMetaRendering.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Json.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.LayoutServices.Integration.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
Sitecore.XA.Feature.Maps.dll,4.8.0.1160,4.8.0.0,4.8.0-r01160
