sep=,
Filename,Version,FileVersion,InfoVersion
AjaxMin.dll,5.14.5506.26196,5.14.5506.26196,5.14.5506.26196
LinqToTwitter.AspNet.dll,3.2.0,3.2.0.0,3.2.0
LinqToTwitter.net.dll,4.0.0.0,4.0.0.0,4.0.0.0
Lucene.Net.Contrib.Spatial.dll,3.0.3,3.0.3.0,3.0.3
Sitecore.LayoutService.dll,5.0.0.0,5.0.0.0,5.0.0-r00104
Sitecore.LayoutService.Mvc.dll,5.0.0.0,5.0.0.0,5.0.0-r00104
Sitecore.XA.Feature.Accessibility.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Analytics.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Compliancy.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Composites.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.ContentTagging.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.ContentTokens.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Context.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.CreativeExchange.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.DeviceResolver.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Engagement.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.ErrorHandling.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Events.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Forms.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.GenericMetaRendering.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Json.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.LayoutServices.Integration.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Feature.Maps.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
