sep=,
Filename,Version,FileVersion,InfoVersion
AjaxMin.dll,5.14.5506.26196,5.14.5506.26196,5.14.5506.26196
LinqToTwitter.AspNet.dll,5.1.3.0,5.1.3.0,5.1.3.0
LinqToTwitter.net.dll,5.1.3.0,5.1.3.0,5.1.3.0
Scriban.dll,2.0.1.0,2.0.1.0,2.0.1+42138f117c4194715eae3369dff914dbc8c3b068
Sitecore.LayoutService.Analytics.dll,7.0.0.0,7.0.0.0,7.0.0-r00166.754
Sitecore.LayoutService.dll,7.0.0.0,7.0.0.0,7.0.0-r00166.754
Sitecore.LayoutService.Mvc.dll,7.0.0.0,7.0.0.0,7.0.0-r00166.754
Sitecore.XA.Feature.Accessibility.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Analytics.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Compliancy.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Composites.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.ContentTagging.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.ContentTokens.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Context.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.CreativeExchange.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.DeviceResolver.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Engagement.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.ErrorHandling.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Events.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Forms.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.GenericMetaRendering.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Horizon.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Json.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.LayoutServices.Integration.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Maps.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Media.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Navigation.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Overlays.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.PageBranches.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.PageContent.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.PageStructure.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Redirects.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Search.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Security.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.SiteMetadata.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Social.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.StickyNotes.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Stylelabs.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.Taxonomy.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.ThemeBootstrap3.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.ThemeBootstrap4.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.ThemeFoundation.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Feature.ThemeGrid960.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Abstractions.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Caching.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Common.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.ContentValidation.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.DynamicPlaceholders.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Editing.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Geospatial.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Grid.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Horizon.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Installer.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.IOC.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.JsonVariants.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.LocalDatasources.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.MarkupDecorator.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.MediaRequestHandler.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Multisite.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Mvc.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.PlaceholderSettings.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Presentation.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Publication.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.RenderingVariants.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Scaffolding.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Scriban.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Search.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Search.Providers.Solr.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.SitecoreExtensions.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Taxonomy.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Theming.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.TokenResolution.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Upgrade.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.Variants.Abstractions.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.Foundation.XConnect.Integration.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.JSS.Foundation.Integration.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.JSS.Foundation.LocalDatasources.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.JSS.Foundation.Multisite.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.JSS.Foundation.Presentation.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Sitecore.XA.JSS.Foundation.Scaffolding.dll,8.0.0.0,8.0.0.0,8.0.0-r03751
Spatial4n.Core.dll,0.3.0.0,0.3.0.0,0.3.0.0

